start,end,midi,note,velocity,confidence
1.695,1.765,69,A4,48,0.903
1.915,2.035,64,E4,48,0.873
2.925,3.085,68,G#4,48,0.504
3.255,3.385,68,G#4,48,0.757
3.425,3.675,73,C#5,62,0.613
3.685,3.795,73,C#5,48,0.596
3.895,3.975,67,G4,60,0.731
3.975,4.465,68,G#4,64,0.796
4.465,4.765,67,G4,80,0.914
4.765,4.965,68,G#4,48,0.892
5.175,5.245,67,G4,65,0.362
5.245,5.365,68,G#4,87,0.877
5.365,6.205,67,G4,69,0.897
6.425,6.605,69,A4,48,0.42
6.605,6.865,68,G#4,71,0.668
7.375,7.475,70,A#4,48,0.965
8.025,8.185,67,G4,63,0.807
8.625,8.815,73,C#5,69,0.88
8.815,8.895,74,D5,66,0.971
8.895,9.215,73,C#5,48,0.817
9.215,9.435,71,B4,70,0.489
9.435,9.495,70,A#4,87,0.961
9.495,9.765,67,G4,78,0.974
10.235,10.375,67,G4,48,0.786
10.755,10.815,72,C5,48,0.296
10.965,11.045,68,G#4,63,0.757
11.045,11.135,67,G4,79,0.937
11.135,11.235,68,G#4,48,0.309
11.555,11.875,67,G4,82,0.78
11.875,12.085,68,G#4,79,0.88
12.085,12.165,70,A#4,71,0.617
12.165,12.475,69,A4,59,0.508
12.475,12.925,67,G4,84,0.959
12.925,12.995,66,F#4,86,0.936
12.995,13.175,65,F4,80,0.87
13.175,13.375,67,G4,89,0.878
13.375,13.485,69,A4,68,0.583
13.485,13.785,68,G#4,80,0.772
13.835,13.935,73,C#5,81,0.875
13.935,14.005,72,C5,75,0.95
14.005,14.215,73,C#5,64,0.891
14.305,14.395,67,G4,82,0.774
14.395,14.765,68,G#4,69,0.909
14.765,15.155,67,G4,84,0.908
15.155,15.405,69,A4,70,0.734
15.405,15.475,67,G4,86,0.886
15.475,15.875,68,G#4,60,0.494
16.055,16.195,56,G#3,48,0.41
23.115,23.365,63,D#4,89,0.764
23.395,23.615,67,G4,80,0.536
23.615,23.785,68,G#4,80,0.767
23.985,24.055,70,A#4,74,0.679
24.155,24.265,67,G4,73,0.684
24.265,24.345,68,G#4,72,0.533
24.345,24.475,67,G4,67,0.616
24.475,25.665,68,G#4,69,0.87
25.665,25.795,67,G4,70,0.591
25.915,26.035,67,G4,72,0.671
26.035,26.145,65,F4,75,0.433
26.145,26.255,63,D#4,72,0.317
26.735,26.855,63,D#4,79,0.324
26.945,27.185,67,G4,71,0.481
27.185,27.305,68,G#4,69,0.737
27.395,27.485,72,C5,78,0.429
27.485,27.585,70,A#4,70,0.575
27.705,27.875,68,G#4,72,0.573
27.875,28.025,67,G4,64,0.683
28.025,29.275,68,G#4,70,0.911
29.275,29.445,67,G4,63,0.699
29.445,29.515,68,G#4,48,0.58
29.515,29.605,67,G4,48,0.482
29.605,29.985,68,G#4,48,0.488
30.175,30.245,62,D4,94,0.855
30.245,30.445,63,D#4,89,0.829
30.455,30.625,67,G4,70,0.605
30.695,30.865,68,G#4,68,0.602
31.055,31.195,70,A#4,68,0.602
31.225,31.425,68,G#4,75,0.426
31.425,31.555,67,G4,70,0.625
31.555,32.185,68,G#4,75,0.597
32.305,32.605,73,C#5,66,0.313
32.605,32.795,72,C5,70,0.425
32.795,32.895,68,G#4,75,0.475
32.895,33.275,67,G4,69,0.693
33.275,33.545,68,G#4,48,0.517
33.625,33.695,68,G#4,48,0.115
33.735,33.815,62,D4,74,0.364
33.815,33.935,63,D#4,82,0.591
34.015,34.455,67,G4,76,0.578
34.495,34.605,72,C5,79,0.55
